year,DEP,Ludovic_proportion,Jean_proportion,Victor_proportion,Marie_proportion,Jeanne_proportion,Sophie_proportion
1999,17,0,0,0.00954653937947494,0.0175596578117965,0.0045024763619991,0.00315173345339937
2000,17,0.00228223659186002,0.00114111829593001,0.0102700646633701,0.0211640211640212,0.00617283950617284,0.00352733686067019
2001,17,0.00195236235845373,0.00156188988676298,0.00780944943381492,0.0165721761883995,0.00828608809419974,0.00174443959877889
2002,17,0,0.00282485875706215,0.00686037126715093,0.0175855513307985,0.00665399239543726,0.00190114068441065
2003,17,0.00205423171733772,0.00205423171733772,0.00657354149548069,0.0147971360381862,0.0081145584725537,0
2004,17,0.00128259940145361,0.00171013253527148,0.00384779820436084,0.0141948115516397,0.00930004894762604,0.00195790504160548
2005,17,0,0.00207986688851913,0.00707154742096506,0.00872093023255814,0.00872093023255814,0
2006,17,0,0.00171526586620926,0.00686106346483705,0.011031175059952,0.00623501199040767,0.00191846522781775
2007,17,0,0.00304745319982586,0.00740095777100566,0.0130982367758186,0.00856423173803527,0
2008,17,0,0.00254237288135593,0.0076271186440678,0.00824042656325739,0.00775569558894813,0
2009,17,0,0.00202265372168285,0.00364077669902913,0.00443131462333826,0.00492368291482029,0
2010,17,0,0.00254885301614274,0.00552251486830926,0.0061633281972265,0.00770416024653313,0
2011,17,0,0.00224517287831163,0.00628648405927256,0.00359897172236504,0.00874035989717224,0.00154241645244216
2012,17,0,0.00224820143884892,0.00944244604316547,0.00305810397553517,0.0101936799184506,0
2013,17,0,0.0018796992481203,0.0093984962406015,0.0032520325203252,0.00596205962059621,0.0016260162601626
2014,17,0,0.00187881634570221,0.00845467355565993,0.00213903743315508,0.00802139037433155,0
2015,17,0,0.00317796610169492,0.00582627118644068,0.00397727272727273,0.00681818181818182,0
2016,17,0,0.00205233453052848,0.00615700359158543,0.00538922155688623,0.00838323353293413,0
2017,17,0,0.00334634690462911,0.00669269380925823,0.00189035916824197,0.0113421550094518,0
2018,17,0,0.00291885580852306,0.0122591943957968,0.0032916392363397,0.0144832126398947,0
1900,18,0,0.0421205519244735,0.00508351488743646,0.236189402480271,0.076662908680947,0
1901,18,0,0.0446780551905388,0.00328515111695138,0.208955223880597,0.0911513859275053,0
1902,18,0,0.0520376175548589,0.00313479623824451,0.197774405665149,0.0667678300455235,0
1903,18,0,0.0425963488843813,0.00743745774171738,0.198966408268734,0.0842377260981912,0
1904,18,0,0.0494132180358246,0,0.197761194029851,0.0751599147121535,0
1905,18,0,0.0381406436233611,0.0065554231227652,0.176648213387016,0.0759939607448415,0
1906,18,0,0.0523809523809524,0.00317460317460317,0.155935613682093,0.0870221327967807,0
1907,18,0,0.0531400966183575,0.0036231884057971,0.145789473684211,0.0731578947368421,0
1908,18,0,0.0479867622724766,0.00386100386100386,0.136340338288057,0.0789338800615069,0
1909,18,0,0.0615302300695559,0.00267522739432852,0.139464375947448,0.0763011622031329,0
1910,18,0,0.0518477661334804,0,0.111219512195122,0.0873170731707317,0
1911,18,0,0.0539739027283511,0.00415183867141162,0.107921318447634,0.0802764486975013,0
1912,18,0,0.05720823798627,0.0017162471395881,0.122872340425532,0.0803191489361702,0
1913,18,0,0.0641741071428571,0,0.119098712446352,0.082618025751073,0
1914,18,0,0.0715922107674685,0.00229095074455899,0.111713665943601,0.0786334056399132,0
1915,18,0,0.0753363228699552,0,0.117132867132867,0.083041958041958,0
1916,18,0,0.0755508919202518,0,0.0947775628626693,0.086073500967118,0
1917,18,0,0.0593047034764826,0.00408997955010225,0.0731261425959781,0.0676416819012797,0
1918,18,0,0.0797459421312632,0.00352858151023289,0.0744047619047619,0.0736607142857143,0
1919,18,0,0.0737018425460637,0,0.0675675675675676,0.0760135135135135,0
1920,18,0,0.0827751196172249,0,0.0623836126629423,0.0665735567970205,0
